Animal_ID,Harly,Troy,Will,Brian,WorkGroup
17-2,1,,1,1,3
1A015,2,2,2,2,1
1A117,2,2,2,2,1
1A172,2,2,4,2,1
1B001,2,2,2,2,1
1B002,5,5,5,5,2
1B012,4,4,4,4,1
1B013,2,2,2,3,1
1B015,3,4,3,3,2
1B022,2,2,3,2,2
1B023,1,1,1,1,1
1B026,2,2,3,2,2
1B031,2,2,2,2,2
1B052,4,4,4,4,1
1B060,2,2,1,2,1
1B065,2,3,3,3,2
1B066,2,2,1,2,2
1B075,1,1,1,1,1
1B079,5,4,4,5,2
1B082,2,2,2,2,2
1B084,3,3,3,4,1
1B085,3,3,3,2,2
1B087,5,5,4,4,2
1B090,2,2,2,2,1
1B093,2,3,2,3,2
1B094,2,2,3,2,2
1B097,2,2,2,3,2
1B103,4,4,4,5,1
1B104,3,3,3,3,2
1B122,2,3,2,3,1
1B124,3,4,3,3,2
1B126,2,2,2,2,1
1B127,5,5,5,5,2
1B132,3,2,2,2,1
1B149,2,3,2,2,1
1B157,2,2,3,3,2
1B177,4,4,4,4,1
1B198,1,2,1,1,1
1B207,2,2,2,2,1
1C002,2,3,2,2,2
1C014,4,4,4,4,2
1C018,2,2,2,2,2
1C020,2,2,2,2,2
1C027,1,2,2,2,1
1C028,2,2,2,2,2
1C030,2,2,2,2,2
1C034,2,2,2,2,2
1C046,4,4,4,4,2
1C059,5,5,4,5,2
1C063,5,5,5,5,2
1C070,2,3,3,3,1
1C075,4,4,4,4,2
1C077,4,4,4,5,2
1C080,2,2,1,2,1
1C081,3,3,3,3,2
1C085,3,3,2,3,2
1C087,2,2,2,3,1
1C089,4,4,3,,1
1C091,2,3,3,3,2
1C093,4,4,4,4,1
1C100,4,5,4,4,2
1C102,5,5,5,5,2
1C104,5,5,5,5,2
1C114,3,3,3,4,2
1C118,4,3,3,3,1
1C120,3,4,4,4,1
1C123,2,2,2,1,1
1C127,2,2,2,2,2
1C132,4,4,4,4,1
1C134,5,4,4,5,2
1C135,5,5,5,5,2
1C139,4,4,4,4,1
1C153,5,5,5,5,1
1C154,3,3,3,3,1
1C155,5,5,4,4,1
1C158,2,2,1,2,1
1C161,2,1,2,2,1
1C174,2,2,1,1,1
1C176,4,4,4,4,1
1C190,1,1,1,1,2
1C192,1,1,1,1,2
1C203,1,1,1,1,1
1C207,5,4,4,4,2
1D002,1,2,2,1,3
1D010,2,2,3,1,3
1D013,2,3,3,2,3
1D014,1,2,4,1,3
1D016,4,3,,4,3
1D020,3,3,3,3,3
1D023,1,2,2,1,3
1D028,2,2,2,2,3
1D040,1,2,2,1,3
1D044,3,3,3,3,3
1D057,2,2,2,2,3
1D061,1,2,2,1,3
1D062,2,3,3,3,3
1D063,3,,4,3,3
1D064,1,1,2,1,3
1D066,3,3,3,3,3
1D070,3,3,3,3,3
1D072,2,3,3,3,3
1D076,1,1,2,1,3
1D086,1,1,1,2,3
1D091,1,2,2,2,3
1D092,2,2,3,2,3
1D125,1,2,2,1,3
1D132,,3,3,2,3
1D133,2,2,2,2,3
1D139,2,2,2,2,3
1D145,2,2,2,2,3
1D153,3,4,4,4,3
1D156,3,4,3,3,3
1D162,2,2,3,2,3
1D163,3,4,4,4,3
1D166,1,1,2,1,3
1D179,2,2,2,2,3
1D182,2,2,,2,3
1D187,1,1,2,1,3
1D192,2,2,2,2,3
1D197,2,2,,2,3
1D207,3,3,4,3,3
1Z043,3,3,4,3,2
BAR-43,1,1,1,1,2
BAR-63,1,1,1,1,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
